PROGRAM NAME,COURSE CODE,WIL TYPE,Contact Name,Address,City,"22F
# of Students Placed",PAC/PLACE/CAREER
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Sandra,"Deziel Dr Suite , Windsor, ON N8W 5K8 ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Krystal,"Chilver Rd UnitWindsor, ON N8Y 2K2 ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Cathy,"Lachance, Tecumseh, ON N8N 1L5 ",Tecumseh,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Nadia,"Dougall Ave., Windsor ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Laura,"Ouellette Ave., Windsor",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Amy Croft Dr, Tecumseh, ON N8N 2L9 ",Tecumseh,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Aida,"Lambert St. Amherstburg, Ontario N9A 0A9 ",Amherstburg,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Joey,"Provincial Rd., Windsor N8W 5W1 ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,"Suheir,","Jackson Park Health Center, McDougall St Suite , Windsor, ON",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Jana,Pelissier St. Suite Windsor,Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Manning Road, Suite , Tecumseh, ON",Tecumseh,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Teresa,"Dougall Ave, Windsor, ON N9G 1X2; 1695 Manning Rd. Tecumseh N8N 2L9 ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,"Deirdre,",Amy Croft Dr. ,Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Abby,"Main Street E., Kingsville, ON N9Y 1A2",Kingsville,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,"Shelby,","Talbot St N, Essex, ON N8M 2C4",Essex,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Windsor Ave, Suite, Windsor ON",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Laura,"Dougall Ave Uni, Windsor, ON N8X 5A7",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Rana,"Tecumseh Rd E, Windsor, ON",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Sandra,"Deziel Dr Suite # , Windsor, ON N8W 5K8",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Ruth,Walker Rd,Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Tracey,"Tecumseh Rd E, Windsor, ON",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,"Vanessa,","Dougall Ave, Windsor, ON N9E 1S4 ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Atoe,"William Street South Chatham, ON N7M 6B3 ",Chatham,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Laura,Malden Rd #114 Lasalle ON N9H 1S3,LaSalle,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Jessica,"Tecumseh Rd E. Tecumseh, ON N8N 3T0 ",Tecumseh,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Ella,"Tecumseh Rd E, Windsor, ON N8T 1E7 ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Jennifer,"Ouellette Ave, Windsor, ON N8X 1K7 ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Madalina,"Banwell Rd #100, Windsor, ON (Inside Design)",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Nicole,"Ottawa St, Windsor, ON N8X 2E6 ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Front Rd. Lasalle, ON",LaSalle,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Hebah,"Howard Ave, Windsor, ON",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,AK,Tecumseh Rd E. Windsor,Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Micha,"Remark Dr, Kingsville, Ontario N9Y 3X6",Kingsville,2,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Monica,"Tecumseh Rd E, Windsor, ON N8R 1A5",Windsor,1,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Pam,Cabana Rd E Suite  Windsor ON N8X 3W7 ,Windsor,4,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Linda,"Stanley St, Windsor, ON N8X 4Z9 ",Windsor,3,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Sanja Livrinska,"Lesperance Rd. Tecumseh, ON N8H 1Y2; 3001 Dougall Ave., Windsor ON N9E 1S3 ",Windsor,1,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Brenda,"Victoria Ave. Chatham, ON N7L 3A1",Chatham,1,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Hali,"Essex County Rd 22 Unit/, Belle River, ON N0R 1A0 ",Belle River,1,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,John,Tecumseh Rd E,Tecumseh,4,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Monique,"Walker Rd, Windsor",Windsor,2,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Ashley,Dougall Ave,Windsor,2,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Main Street West, Kingsville, ON",Kingsville,2,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Jenny,"Sprucewood Ave, Windsor, ON N9J 1X7 ",Windsor,3,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Sean,"Wyandotte St. E., Windsor N8S 1M9 ",Windsor,5,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Slagjana,"Lanoue St, Windsor, Ontario N8N 5B5 ",Windsor,6,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Dougall Ave, Windsor (Inside Cameo Hair Salon)",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Vanessa,"Wyandotte St E, 102 B  Windsor, OntarioN8Y 1C7",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Stella,Howard Ave Unit Windsor (Inside Bar),Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Rose,"Sandwich St S, Amherstburg, ON N9V 3Z7 ",Amherstburg,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Bill,"Dalhousie St #, Amherstburg, ON N9V 1W7 ",Amherstburg,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Sarah/Carlie,"Tecumseh Rd E, Windsor, ON N8T 1E3 ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Hawthorne Dr Suite  Windsor, ON N8T 3N3 ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Joanne,"Lesperance Rd, Tecumseh, ON",Tecumseh,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Tecumseh Rd E, Tecumseh",Tecumseh,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Naveena,"Tecumseh Rd E, Windsor, ON N8N 1L8 ",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Holli,"Advance Blvd, Tecumseh, ON   N8N 0B8",Tecumseh,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Riverside Drive E. Windsor, ON N8S 1E1",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Alicia,"Erie St E, Windsor, ON N9A 3Y9",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Forest Glade Dr, Windsor, ON N8R 1W6",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Malden Rd Unit, LaSalle, ON N9H 1T5",LaSalle,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,0,"Dundas Street, London, ON",London,,placement
Veterinary Technician ,VET 311,,Jessica,Seymour St,Vancouver,,placement
Fitness & Health Promotion ,FHT 206,Placement,Rob,"McHugh St. Windsor, Ontario  N8S 0A1 ",Windsor,,placement
Fitness & Health Promotion ,FHT 206,Placement,Susan,Meadowbrook Lane Windsor ON,Windsor,,placement
Fitness & Health Promotion ,FHT 206,Placement,Tory,"Front Rd. Lasalle, ON",LaSalle,,placement
Fitness & Health Promotion ,FHT 206,Placement,Aline,"Talbot St North, Essex",Essex,2,placement
Fitness & Health Promotion ,FHT 206,Placement,Brenda,"First Street, Belle River, ON",Belle River,1,placement
Fitness & Health Promotion ,FHT 206,Placement,Alyssa,"Dougall Avenue, Windsor, ON",Windsor,4,placement
Fitness & Health Promotion ,FHT 206,Placement,Angela,"Howard Ave Windsor, ON N9A 1S5",Windsor,3,placement
Fitness & Health Promotion ,FHT 206,Placement,Angela,"Mill St W, Leamington, ON N8H 1S8",Leamington,1,placement
Fitness & Health Promotion ,FHT 206,Placement,Sue,"Lauzon Rd., Windsor",Windsor,1,placement
Fitness & Health Promotion ,FHT 206,Placement,Jim,"Tecumseh Rd. E Windsor, ON",Windsor,2,placement
Fitness & Health Promotion ,FHT 206,Placement,Andrew,Crawford Ave. Windsor ON,Windsor,2,placement
Fitness & Health Promotion ,FHT 206,Placement,Christie,"West End, Downtown",Vancouver,2,placement
